"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-02-28,4151,"Coconut Creek","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",874,182700,0.00164473684210526,0.0121883656509695,0.0734430082256169,0.0895278029260433,0.0311786862305832,"2006-11","2006-Q4",250400,-0.270367412140575,"2005-02"
2019-02-28,50704,"Altamonte Springs","FL","Orlando-Kissimmee-Sanford","Seminole County",875,193700,0.00990615224191867,0.0297713981924508,0.123549883990719,0.125607471236676,0.025624008249312,"2006-09","2006-Q3",212900,-0.090183184593706,"2005-10"
2019-02-28,52262,"Goshen","IN","Elkhart-Goshen","Elkhart County",876,166900,0.00421179302045728,0.00724200362100181,0.0980263157894737,0.0605403369375674,0.0305734217334783,"2019-02","2019-Q1",166900,0,"2019-02"
2019-02-28,5411,"Kettering","OH","Dayton","Montgomery County",877,142100,0,0.00282286520818631,0.0708364732479277,0.0456027640905807,0.0165404788470944,"2019-02","2019-Q1",142100,0,"2019-02"
2019-02-28,12716,"Midwest City","OK","Oklahoma City","Oklahoma County",878,94600,0.00211864406779661,0.012847965738758,0.033879781420765,0.0447575272507053,0.0179269098121155,"2019-02","2019-Q1",94600,0,"2019-02"
2019-02-28,399297,"Muskegon","MI","Muskegon","Muskegon County",879,81400,0.00246305418719212,0.0226130653266332,0.179710144927536,0.101938446481736,,"2019-02","2019-Q1",81400,0,"2019-02"
2019-02-28,35245,"Abington","PA","Philadelphia-Camden-Wilmington","Montgomery County",880,284900,-0.00245098039215686,0.00105411103302881,0.0458883994126285,0.0346363576881417,0.0112681991863561,"2019-01","2019-Q1",285600,-0.00245098039215686,"2018-12"
2019-02-28,50985,"Berwyn","IL","Chicago-Naperville-Elgin","Cook County",881,215000,0.00561272217025257,0.0228353948620362,0.103129810159056,0.0858896509762708,0.00873057246391262,"2006-10","2006-Q4",250700,-0.142401276426007,"2004-10"
2019-02-28,44878,"Dearborn Heights","MI","Detroit-Warren-Dearborn","Wayne County",882,125900,0.00398724082934609,0.0161420500403551,0.0834767641996557,0.127155740327314,0.0369365013149401,"2006-01","2006-Q1",141000,-0.10709219858156,"2001-02"
2019-02-28,31125,"Crown Point","IN","Chicago-Naperville-Elgin","Lake County",883,231900,0.00302768166089965,0.0144356955380577,0.104285714285714,0.0533838285772625,0.0232400761277791,"2019-02","2019-Q1",231900,0,"2019-02"
2019-02-28,37971,"Colton","CA","Riverside-San Bernardino-Ontario","San Bernardino County",884,306000,0.0016366612111293,0.0099009900990099,0.0759493670886076,0.11583176027975,0.0614178467703703,"2006-08","2006-Q3",348400,-0.121699196326062,"2005-11"
2019-02-28,27374,"Taunton","MA","Providence-Warwick","Bristol County",885,297800,0.00235610905419051,0.0132698196665532,0.0537862703467799,0.0639823211020609,0.0244030989642372,"2005-11","2005-Q4",298800,-0.00334672021419009,"2005-04"
2019-02-28,39775,"Middleburg","FL","Jacksonville","Clay County",886,206000,0.00684261974584555,0.0258964143426295,0.0905240868184224,0.0840511070791532,0.0189746268677402,"2019-02","2019-Q1",206000,0,"2019-02"
2019-02-28,6032,"Moore","OK","Oklahoma City","Cleveland County",887,138900,0.00506512301013025,0.0101818181818182,0.0281273131014064,0.0419525171382265,0.0204903895670225,"2019-02","2019-Q1",138900,0,"2019-02"
2019-02-28,38718,"Glenview","IL","Chicago-Naperville-Elgin","Cook County",888,440600,0.00227479526842584,0.00364464692482916,-0.013876454789615,0.0164412946006978,0.0017646231101951,"2007-01","2007-Q1",534000,-0.174906367041198,"2004-09"
2019-02-28,30872,"Chicopee","MA","Springfield","Hampden County",889,182200,-0.00164383561643836,0.00275178866263071,0.0224466891133558,0.0386925676991625,0.0123840242267277,"2019-01","2019-Q1",182500,-0.00164383561643836,"2018-12"
2019-02-28,39967,"New Brunswick","NJ","New York-Newark-Jersey City","Middlesex County",890,248800,0.0101502233049127,0.0396991224404513,0.118705035971223,0.0792732159791565,0.00461670161769567,"2006-05","2006-Q2",286900,-0.132798884628791,"2004-12"
2019-02-28,7433,"Titusville","FL","Palm Bay-Melbourne-Titusville","Brevard County",891,161300,0.00498442367601246,0.0293554562858966,0.125610607117934,0.173112194591024,0.0363203885631631,"2006-06","2006-Q2",169000,-0.0455621301775148,"2005-12"
2019-02-28,32697,"Maricopa","AZ","Phoenix-Mesa-Scottsdale","Pinal County",892,209500,0.0076960076960077,0.0289783889980354,0.119722073757349,0.0708193717273871,0.0430850704852501,"2006-06","2006-Q2",269700,-0.223210975157583,"2005-05"
2019-02-28,32180,"Jackson","NJ","New York-Newark-Jersey City","Ocean County",893,352800,0.000567214974475326,-0.00141522785168412,-0.00198019801980198,0.0300869218860131,0.00694760896204039,"2006-08","2006-Q3",381200,-0.074501573976915,"2005-08"
2019-02-28,16838,"Auburn","AL","Auburn-Opelika","Lee County",894,249700,0.000801603206412826,0.00766747376916868,0.0430242272347535,0.0403400474454092,0.0111013128993007,"2019-02","2019-Q1",249700,0,"2019-02"
2019-02-28,39899,"Mount Prospect","IL","Chicago-Naperville-Elgin","Cook County",895,295100,0.00135731252120801,0.00101763907734057,-0.00135363790186125,0.0329842732915848,0.00105660578305922,"2007-02","2007-Q1",359500,-0.17913769123783,"2004-03"
2019-02-28,26592,"Port Orchard","WA","Bremerton-Silverdale","Kitsap County",896,338000,0.00475624256837099,0.013189448441247,0.0723350253807107,0.0837353197597863,0.0313628698934694,"2019-02","2019-Q1",338000,0,"2019-02"
